Domaine;Nom_du_defaut;Declaration_et_condition;Ecriture_du_bit_TRUE;Remonte_en_banniere;Message_utilisateur;Silencieuse;Categorie_securite;Remarque
Encodeur M1;FB_Encoder_Homing bit 0 - homing non autorise dans ce mode;CODE/E_CODEURS/FB_Encoder_Homing.st:136 (Active): latch FB_Encoder_Homing.st:137;FB_Encoder_Homing.st:137 -> FB_FaultCore.st:53 -> Measurement.HomingFault (FB_Encoder.st:202) -> WinchM1State.Encoder.HomingErrorId (FB_WinchStateProjection.st:134-135);NON - aucun libelle;NON - texte FB_Encoder_Homing.st:138 orphelin;PARTIEL;Safety;ECART MAJEUR - cause nommee nulle part ; remonte aussi en cause 3 du cycle machine (FB_CycleMachineHoming.st:446) elle-meme non libellee
Encodeur M1;FB_Encoder_Homing bit 1 - cible de homing hors plage;FB_Encoder_Homing.st:140 (Active): latch FB_Encoder_Homing.st:141;FB_Encoder_Homing.st:141 -> FB_FaultCore.st:53;NON;NON;PARTIEL;Safety;ECART MAJEUR - idem bit 0
Encodeur M1;FB_Encoder_Homing bit 2 - echec confirmation transaction preset;FB_Encoder_Homing.st:144 (Active): latch FB_Encoder_Homing.st:145;FB_Encoder_Homing.st:145 -> FB_FaultCore.st:53;NON;NON;PARTIEL;Safety;ECART MAJEUR - idem bit 0
Encodeur M1;FB_Encoder_Homing bit 3 - incoherence position codeur au demarrage;FB_Encoder_Homing.st:148 (Active): latch FB_Encoder_Homing.st:149;FB_Encoder_Homing.st:149 -> FB_FaultCore.st:53;NON;NON;PARTIEL;Safety;ECART MAJEUR - idem bit 0
Encodeur M1;FB_Encoder_Safety bit 0 - depassement bornes physiques absolues cable;CODE/E_CODEURS/FB_Encoder_Safety.st:53 (Active, live);FB_Encoder_Safety.st:53 -> FB_FaultCore.st:53 -> EncoderIncoherent (FB_Encoder_Safety.st:81) -> Measurement.EncoderIncoherent (FB_Encoder.st:198) -> gate FB_EncoderReliability.EncoderFault (FB_EncoderReliability.st:30);NON - EncoderIncoherent n'entre dans AUCUNE entree du formateur, aucun libelle;NON - texte FB_Encoder_Safety.st:55 orphelin;OUI (bloque le mouvement sans aucune sortie utilisateur);Safety (ISO 13849 - hors bornes = mesure non fiable);ECART CRITIQUE - un depassement de bornes physiques absolues bloque les mouvements (PRG_03:95/194, FB_CycleSemiAuto.st:573) et n'allume NI voyant NI message ; ST_EncoderHMI n'a aucun champ pour ce signal (ST_EncoderHMI.st:7-27).
Encodeur M1;FB_Encoder_Safety bit 1 - incoherence position au redemarrage;FB_Encoder_Safety.st:57 (Active, live);FB_Encoder_Safety.st:57 -> FB_FaultCore.st:53 -> EncoderIncoherent;NON;NON;OUI;Safety;ECART CRITIQUE - idem bit 0 (HomingSuspect)
Encodeur M2;FB_Encoder bit 0 - perte materiel/communication codeur EtherCAT;FB_Encoder.st:226 (instance M2);FB_Encoder.st:226 -> Data.EncoderM2.Fault (PRG_02:691);NON;NON;OUI;Safety;ECART MAJEUR - symetrique M1
Encodeur M2;FB_Encoder bit 1 - incoherence mesure / saut de position;FB_Encoder.st:228;FB_Encoder.st:228 -> Data.EncoderM2.Fault;NON;NON;OUI;Safety;ECART MAJEUR - symetrique M1
Encodeur M2;FB_Encoder bit 2 - echec confirmation transaction preset;FB_Encoder.st:230;FB_Encoder.st:230 -> Data.EncoderM2.Fault;NON;NON;OUI;Safety;ECART MAJEUR - symetrique M1
Encodeur M2;FB_Encoder_Abs bits 0 et 1;FB_Encoder_Abs.st:75 et :83 (instance M2);FB_Encoder_Abs.st:76/84 -> WinchM2State.Encoder.ErrorId (FB_WinchStateProjection.st:196-197);NON;NON;PARTIEL;Safety;ECART MAJEUR - symetrique M1
Encodeur M2;FB_Encoder_Homing bits 0 a 3;FB_Encoder_Homing.st:136/140/144/148 (instance M2);FB_Encoder_Homing.st:137/141/145/149 -> WinchM2State.Encoder.HomingErrorId (FB_WinchStateProjection.st:201-202);NON;NON;PARTIEL;Safety;ECART MAJEUR - symetrique M1
Encodeur M2;FB_Encoder_Safety bits 0 et 1;FB_Encoder_Safety.st:53 et :57 (instance M2);FB_Encoder_Safety.st:54/58 -> EncoderIncoherent M2;NON;NON;OUI;Safety;ECART CRITIQUE - symetrique M1
Cycle semi-auto;CYCLE ErrorID:01 - limite legale de profondeur;CODE/G_CYCLE/FB_CycleSemiAuto.st:446 (Active): latch FB_CycleSemiAuto.st:451;FB_CycleSemiAuto.st:446 -> FB_FaultCore.st:53 -> CycleSemiAuto.State.ErrorId (PRG_07:660-662) -> formateur PRG_07:728;OUI - FB_Hmi_BannerFormatter.st:1068;OUI - "[CYCLE] ErrorID:01 - limite legale atteinte";NON;Safety (limite d'exploitation);Conforme
Cycle semi-auto;CYCLE ErrorID:02 - desynchronisme treuils M1/M2 bloquant;FB_CycleSemiAuto.st:458 (Active): latch :465;FB_CycleSemiAuto.st:458 -> FB_FaultCore.st:53;OUI - FB_Hmi_BannerFormatter.st:1071;OUI - "[CYCLE] ErrorID:02 - defaut synchro treuils";NON;Safety (SYNC priorite 1);Conforme - attenue l'ecart E-SYNC-1 pour la bande 6-7 m pendant un cycle actif uniquement
Cycle semi-auto;CYCLE ErrorID:03 - ecart de vitesse M1/M2 confirme en montee;FB_CycleSemiAuto.st:468 (Active): latch :469;FB_CycleSemiAuto.st:468 -> FB_FaultCore.st:53;OUI - FB_Hmi_BannerFormatter.st:1086;OUI - "[CYCLE] ErrorID:03 - ecart vitesse montee";NON;Safety;Conforme
Cycle semi-auto;CYCLE ErrorID:04 - perte communication IHM pendant cycle;FB_CycleSemiAuto.st:472 (Active): latch :473;FB_CycleSemiAuto.st:472 -> FB_FaultCore.st:53;OUI - FB_Hmi_BannerFormatter.st:1080;OUI - "[CYCLE] ErrorID:06 - perte communication IHM";NON;Safety;Conforme - numerotation ErrorID decouplee de l'index de bit (bit3 -> ErrorID:06) : convention respectee mais piege de lecture
Cycle semi-auto;CYCLE ErrorID:05 - depassement tempo maximale d'etape;FB_CycleSemiAuto.st:476 (Active): latch :477;FB_CycleSemiAuto.st:476 -> FB_FaultCore.st:53;OUI - FB_Hmi_BannerFormatter.st:1083;OUI - "[CYCLE] ErrorID:07 - timeout etape";NON;Safety;Conforme
Cycle semi-auto;CYCLE ErrorID:06 - defaut de stabilisation / tolerance ecart codeurs;FB_CycleSemiAuto.st:482 (Active): latch :484;FB_CycleSemiAuto.st:482 -> FB_FaultCore.st:53;OUI - FB_Hmi_BannerFormatter.st:1074;OUI - "[CYCLE] ErrorID:04 - ecart codeurs remontee";NON;Safety;Conforme
Cycle semi-auto;CYCLE bit 6 - Reserve (synchronisme arbitre par PRG_04);FB_CycleSemiAuto.st:490 (Active := FALSE en dur);AUCUNE - Active litteral FALSE;NON;NON;OUI (slot reserve inerte);Process;Conforme - slot volontairement inerte (commentaire FB_CycleSemiAuto.st:488-492) ; aucun libelle attendu, coherent
Cycle semi-auto;CYCLE ErrorID:08 - treuils hors FDC haut pendant translation P1;FB_CycleSemiAuto.st:497 (Active): latch :500;FB_CycleSemiAuto.st:497 -> FB_FaultCore.st:53;OUI - FB_Hmi_BannerFormatter.st:1089;OUI - "[CYCLE] ErrorID:08 - hors FDC haut translation P1";NON;Safety;Conforme
Cycle semi-auto;CYCLE ErrorID:09 - palier 5 interdit en plongee;FB_CycleSemiAuto.st:506 (Active): latch :511;FB_CycleSemiAuto.st:506 -> FB_FaultCore.st:53;OUI - FB_Hmi_BannerFormatter.st:1092;OUI - "[CYCLE] ErrorID:09 - palier 5 interdit en plongee";NON;Process;Conforme
Cycle semi-auto;CYCLE ErrorID:10 - palier 4 non confirme Kobold;FB_CycleSemiAuto.st:517 (Active): latch :520;FB_CycleSemiAuto.st:517 -> FB_FaultCore.st:53;OUI - FB_Hmi_BannerFormatter.st:1095;OUI - "[CYCLE] ErrorID:10 - palier 4 non confirme Kobold";NON;Process;Conforme
Cycle semi-auto;CYCLE bit 10 - Reserve (attente arret mecanique AX3);FB_CycleSemiAuto.st:523 (Active := FALSE en dur);AUCUNE - Active litteral FALSE;NON;NON;OUI (slot reserve inerte);Process;Conforme - slot volontairement inerte (commentaire FB_CycleSemiAuto.st:523-525)
Cycle semi-auto;CYCLE ErrorID:12 - consigne profondeur invalide;FB_CycleSemiAuto.st:527 (Active): latch :530;FB_CycleSemiAuto.st:527 -> FB_FaultCore.st:53;OUI - FB_Hmi_BannerFormatter.st:1098;OUI - "[CYCLE] ErrorID:12 - consigne profondeur invalide";NON;Process;Conforme
Cycle machine / homing;Cause 0 - perte de datum machine en mouvement;CODE/G_CYCLE/FB_CycleMachineHoming.st:434 (Active, index symbolique CST_CauseHomingLostInMotion=0): latch :435;FB_CycleMachineHoming.st:434 -> FB_FaultCore.st:53;NON - MachineHoming.Fault n'est PAS publie (PRG_02:582-595 ne recopie que Step/Instruction/HomingLoss/Failed) et le formateur ne recoit que Step+Instruction;PARTIEL - texte generique "Reference perdue - Arret controle" (FB_CycleMachineHoming.st:789) via FB_Hmi_BannerFormatter.st:302-303;PARTIEL (cause non nommee);Safety (arret controle);ECART MAJEUR - les 7 causes du cycle de referencement sont nommees dans le code mais aucune n'est transmise : l'operateur voit une consigne d'etape, jamais la cause. Le fault est latche (Latching TRUE partout) sans aucun ErrorId publie.
Cycle machine / homing;Cause 1 - montee au capteur haut non aboutie dans le temps imparti;FB_CycleMachineHoming.st:438 (Active): latch :439;FB_CycleMachineHoming.st:438 -> FB_FaultCore.st:53;NON;PARTIEL - texte generique "Erreur ou Echec homing - Acquitter (Reset)" (FB_CycleMachineHoming.st:783);PARTIEL;Safety;ECART MAJEUR - idem cause 0
Cycle machine / homing;Cause 2 - mouvement treuil hors phase autorisee;FB_CycleMachineHoming.st:442 (Active): latch :443;FB_CycleMachineHoming.st:442 -> FB_FaultCore.st:53;NON;PARTIEL;PARTIEL;Safety;ECART MAJEUR - idem cause 0
Cycle machine / homing;Cause 3 - erreur de homing codeur M1 pendant referencement conjoint;FB_CycleMachineHoming.st:446 (Active): latch :447;FB_CycleMachineHoming.st:446 -> FB_FaultCore.st:53;NON;PARTIEL;PARTIEL;Safety;ECART MAJEUR - idem cause 0 (propage une erreur codeur elle-meme non libellee)
Cycle machine / homing;Cause 4 - erreur de homing codeur M2 pendant referencement conjoint;FB_CycleMachineHoming.st:450 (Active): latch :451;FB_CycleMachineHoming.st:450 -> FB_FaultCore.st:53;NON;PARTIEL;PARTIEL;Safety;ECART MAJEUR - idem cause 0
Cycle machine / homing;Cause 5 - homing des axes non obtenu dans le temps imparti;FB_CycleMachineHoming.st:454 (Active): latch :455;FB_CycleMachineHoming.st:454 -> FB_FaultCore.st:53;NON;PARTIEL;PARTIEL;Safety;ECART MAJEUR - idem cause 0
Cycle machine / homing;Cause 6 - descente interdite pendant referencement verrouille;FB_CycleMachineHoming.st:458 (Active): latch :459;FB_CycleMachineHoming.st:458 -> FB_FaultCore.st:53;NON;PARTIEL - instruction "HX7 - RefHoming VERROUILLE" (FB_CycleMachineHoming.st:794-803);PARTIEL;Process;ECART MAJEUR - idem cause 0, l'instruction HX7 nomme l'etape mais pas la cause
Modes;ModesFault bit 0 - mode Semi-Auto selectionne mais cycle non pret (defaut codeur);CODE/F_MODES/FB_Modes.st:163 (Active, live);FB_Modes.st:163 -> FB_FaultCore.st:53 -> PRG_03.Data.ModesFault -> AnyFaultActive (PRG_07:589-590);NON - aucune entree du formateur ne transporte ModesFault.ErrorId;NON - texte FB_Modes.st:165 orphelin;OUI (voyant allume, aucun message);Process;ECART - exemption nominative G506 (source entiere) ; le motif de refus n'est visible que pour la cause 1 via ModeChangeBlockReason
Modes;ModesFault bit 1 - changement de mode refuse (treuils non arretes);FB_Modes.st:179 (Active, live);FB_Modes.st:179 -> FB_FaultCore.st:53 -> PRG_03.Data.ModesFault;NON en carrousel;OUI partiel - "Chgt mode refuse : ..." via ModeChangeBlockReason (FB_Hmi_BannerFormatter.st:368-370, cable PRG_07:741-742);NON;Process;Conforme partiellement - seule cause Modes disposant d'un canal texte, via SpecialConditionText et non le carrousel
Modes;ModesFault bit 2 - Semi-Auto : re-homing obligatoire;FB_Modes.st:167 (Active, live);FB_Modes.st:167 -> FB_FaultCore.st:53;NON;NON;OUI;Process;ECART - exemption G506 (source entiere) ; aucune indication a l'operateur du besoin de re-homing autre que le voyant
Modes;ModesFault bit 3 - Semi-Auto : referencement incomplet;FB_Modes.st:171 (Active, live);FB_Modes.st:171 -> FB_FaultCore.st:53;NON;NON;OUI;Process;ECART - idem bit 2
Securite / AU;AU ErrorID:01 - defaut redondance contacteurs;CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st:490 (Active): latch :490;FB_Safety_EmergencyManagement.st:490 -> FB_FaultCore.st:53 -> Status.Diag.ErrorId (FB_Safety_EmergencyManagement.st:576) -> PRG_06:EmergencyDiag -> formateur PRG_07:774;OUI - FB_Hmi_BannerFormatter.st:1057;OUI - "[AU] ErrorID:01 - redondance contacteurs";NON;Safety (chaine AU);Conforme - message explicite double via RedundancyTestFailed (PRG_07:775)
Securite / AU;AU ErrorID:02 - echec rearmement contacteur AU (timeout);FB_Safety_EmergencyManagement.st:492 (Active): latch :492;FB_Safety_EmergencyManagement.st:492 -> FB_FaultCore.st:53;OUI - FB_Hmi_BannerFormatter.st:1060;OUI - "[AU] ErrorID:02 - echec confirmation armement" + EmergencyArmingFailed (PRG_07:776);NON;Safety (chaine AU);Conforme
Securite / AU;AU bit 2 - slot reserve (texte vide);FB_Safety_EmergencyManagement.st:494 (Active := FALSE, texte vide st:495);AUCUNE - Active litteral FALSE;NON;NON;OUI (slot reserve inerte);Safety;Conforme - slot sans texte ET sans cause active : coherent
Securite / AU;AU ErrorID:04 - echec autotest demarrage;FB_Safety_EmergencyManagement.st:496 (Active): latch :496;FB_Safety_EmergencyManagement.st:496 -> FB_FaultCore.st:53;OUI - FB_Hmi_BannerFormatter.st:1063;OUI - "[AU] ErrorID:04 - echec autotest demarrage";NON;Safety (chaine AU);Conforme
Joystick;JOY Fault bit 0 - echec calibration joystick;CODE/D_JOYSTICK/FB_Joystick.st:139 (Active): latch FB_Joystick.st:139;FB_Joystick.st:139 -> FB_FaultCore.st:53 -> GVL_IHM.JOY1Joystick.State.Error/ErrorId (PRG_07:627-628) -> AnyFaultActive (PRG_07:597);NON - le formateur ne recoit AUCUNE entree ErrorId joystick (VAR_INPUT FB_Hmi_BannerFormatter.st:11-81) : impossible de publier;NON - texte FB_Joystick.st:140 orphelin;OUI (voyant allume, aucun texte);Safety (organe de commande);ECART MAJEUR - exemption nominative G506 (source entiere) ; l'operateur voit un voyant de defaut sans aucune indication (calibration vs capteur vs bus)
Joystick;JOY Fault bit 1 - capteur joystick hors plage ADC;FB_Joystick.st:141 (Active, live);FB_Joystick.st:141 -> FB_FaultCore.st:53;NON;NON;OUI;Safety;ECART MAJEUR - idem bit 0
Joystick;JOY Fault bit 2 - perte liaison bus CAN joystick;FB_Joystick.st:143 (Active, live);FB_Joystick.st:143 -> FB_FaultCore.st:53;NON (le label [CAN] Joystick JOY1 non detecte provient du diagnostic bus, pas de FB_Joystick.Fault.ErrorId);OUI partiel - "[CAN] Joystick JOY1 non detecte" FB_Hmi_BannerFormatter.st:831 (autre producteur) + "[Mx] ErrorID:01 - perte com operateur" (bit 0 safety);OUI (en tant que bit du FB_Joystick);Safety;ECART - la cause physique est couverte indirectement (safety bit 0), mais le bit 2 lui-meme n'est jamais decode ; double comptage possible dans le carrousel
Reseau EtherCAT;MASTER ECAT - perte bus (ErrorId 16#0001);CODE/C_DIAG_RESEAUX/FB_Diag_Ethercat.st:201 (ErrorId := 16#0001);FB_Diag_Ethercat.st:201 -> GVL_IHM.Network.BusEthercat.Error/ErrorId (PRG_07:635) et EcatError (PRG_07:639);OUI - FB_Hmi_BannerFormatter.st:834 (via Operational filtre TOF 1,5 s, FB_Hmi_BannerFormatter.st:204);OUI - "[ECAT] Defaut bus EtherCAT";NON;Process (diagnostic);Conforme - le libelle est derive de Operational, pas du bit ErrorId : deux chemins distincts, coherents ici
Reseau EtherCAT;Variateur M3 - perte liaison physique (ErrorId 16#0010);FB_Diag_Ethercat.st:129 (ErrorId OR 16#0010);FB_Diag_Ethercat.st:129 -> GVL_IHM.Network.VariateurM3.Error/ErrorId (PRG_07:638);OUI - FB_Hmi_BannerFormatter.st:842;OUI - "[M3] Variateur AC600 non detecte (ECAT)";NON;Process;Conforme - auto-efface a la reconnexion (FB_Diag_Ethercat.st:131)
Reseau EtherCAT;Encodeur M1 - perte liaison (ErrorId 16#0020);FB_Diag_Ethercat.st:139 (ErrorId OR 16#0020);FB_Diag_Ethercat.st:139 -> GVL_IHM.Network.EncoderM1.Error/ErrorId (PRG_07:636);OUI - FB_Hmi_BannerFormatter.st:836;OUI - "[M1] Codeur absolu COD1 non detecte (ECAT)";NON;Safety (mesure de position);Conforme
Reseau EtherCAT;Encodeur M2 - perte liaison (ErrorId 16#0030);FB_Diag_Ethercat.st:149 (ErrorId OR 16#0030);FB_Diag_Ethercat.st:149 -> GVL_IHM.Network.EncoderM2.Error/ErrorId (PRG_07:637);OUI - FB_Hmi_BannerFormatter.st:839;OUI - "[M2] Codeur absolu COD2 non detecte (ECAT)";NON;Safety;ECART DE COHERENCE - M2 pose 16#0030 (bits 4 ET 5) alors que M1 pose 16#0020 (bit 5 seul) et que le bit 4 (16#0010) est deja celui du variateur M3 (FB_Diag_Ethercat.st:129) : GVL_IHM.Network.EcatErrorId OR-agrege les 4 esclaves (PRG_07:640), donc un code 16#0030 est ambigu (il peut designer le variateur ET/OU l'encodeur M2). Aucun registre de bits ne documente ces masques.
Reseau CANopen;Bus CANopen - perte bus (ErrorId 16#0001);CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:135 (master) / :97 (joystick);FB_Diag_CanOpen.st:135 -> GVL_IHM.Network.BusCanOpen (PRG_07:630) et CanError (PRG_07:632);OUI - FB_Hmi_BannerFormatter.st:828 (bus) et :831 (joystick);OUI - "[CAN] Defaut bus CANopen" / "[CAN] Joystick JOY1 non detecte";NON;Safety (joystick = organe de commande);Conforme - auto-efface a la reconnexion (FB_Diag_CanOpen.st:100)
Reseau CANopen;Joystick JOY1 - esclave non operationnel (ErrorId 16#0002);FB_Diag_CanOpen.st:105 (ErrorId OR 16#0002);FB_Diag_CanOpen.st:105 -> GVL_IHM.Network.Joystick (PRG_07:631);OUI - FB_Hmi_BannerFormatter.st:831 (via Operational);OUI - "[CAN] Joystick JOY1 non detecte";NON;Safety;Conforme
Reseau IHM;Heartbeat IHM - timeout (aucun bit de defaut produit);CODE/C_DIAG_RESEAUX/FB_Diag_IhmHeartbeat.st:65 (HeartbeatIhmTimeout := IhmTimeoutTon.Q);pas de bitfield : seule une BOOL HeartbeatIhmTimeout;NON - aucun libelle ne l'affiche;NON;NON (publication GVL_IHM.Commun.HeartbeatIhmTimeout PRG_07:411);Safety (consomme comme cause 0 des 3 blocs safety);ECART - le diagnostic existe et alimente les causes "perte communication operateur" (FB_Safety_Winch.st:269, FB_Safety_Translation.st:123, FB_CycleSemiAuto.st:472) mais n'a NI bit NI libelle propre : sa perte n'est visible qu'Indirectement, via une cause safety agregee
Preflight / armement;PreflightErrorId bits 0 a 15 (16 causes : freins non serres, contacteurs, thermiques, rotation phases, mou de cable, capteurs M3, chaine AU, codeurs, homing/position);CODE/A_COMMUN/FB_Acquisition_Preflight.st:68-83 (16 ecritures OR);FB_Acquisition_Preflight.st:68-83 -> GVL_IHM.Commun.Preflight.PreflightErrorId (PRG_07:444);NON - aucun libelle, aucune entree formateur;NON - aucun texte n'existe dans le code pour ces 16 bits;OUI (16 bits totalement muets);Safety (preconditions d'armement) / Process;ECART MAJEUR - 16 bits produits, publies en variable brute, jamais nommes. PreflightOk (FB_Acquisition_Preflight.st:87) n'est consomme par AUCUN code (PRG_07:441-444 publie sans consommateur) : le preflight est un diagnostic orphelin. Alerte deja remontee par T352 (OBJ-01/OBJ-02 de T278 jamais implementes).
Treuils (config);FB_SpeedStep.ConfigError / ConfigErrorId;CODE/H_TREUILS_BENNE/FB_SpeedStep.st:24-25 (declaration) - ecriture dans FB_SpeedStep (table des paliers invalide);FB_SpeedStep -> consomme uniquement par FB_Winch.st:113;NON;NON;OUI;Process;ECART - ce diagnostic n'existe que sous forme d'entree du FB_Winch (bit 2 du Fault FB_Winch, lui-meme silencieux) : aucun niveau IHM propre
Bandeau (sens inverse);Label [DIVE] ErrorID:01 a 07 (7 entrees du carrousel);Aucune - les 7 entrees decodent DiveErrorId;Aucune - DiveErrorId := 0 en dur (PRG_07:772);NON (l'entree existe mais ne peut JAMAIS s'allumer);OUI - textes presents dans FB_Hmi_BannerFormatter.st:1022-1040;N/A (message fantome);N/A;ECART - FB_DiveSearch a ete supprime (PRG_03_Modes_Cycle.st:176/418, FB_TroubleshootingView.st:371) mais ses 7 entrees de carrousel subsistent : code mort qui fera croire a un canal d'alarme inexistant
Bandeau (sens inverse);Label [EXTRACTION] ErrorID:01 a 04 (4 entrees du carrousel);Aucune - les 4 entrees decodent ExtractionErrorId;Aucune - ExtractionErrorId := 0 en dur (PRG_07:773);NON (ne peut jamais s'allumer);OUI - textes presents dans FB_Hmi_BannerFormatter.st:1043-1052;N/A (message fantome);N/A;ECART - FB_ExtractionAssist supprime (PRG_03_Modes_Cycle.st:176/418) ; 4 entrees mortes de plus
Message utilisateur;Notion de "message d'action utilisateur" associee a un defaut;ST_FaultCause.Texte (CODE/A_COMMUN/_TYPES/ST_FaultCause.st:19) - 82 textes de causes ecrits;Les 82 ecritures instCauses[i].Texte : jamais lues dans CODE/ (aucune lecture de .Texte dans les 262 fichiers) ; le carrousel reecrit ses propres libelles;NON (le Texte des causes n'alimente aucun canal);NON - les libelles du carrousel sont une SECONDE table, ecrite a la main dans FB_Hmi_BannerFormatter.st:812-1220;N/A;N/A;ECART STRUCTUREL MAJEUR - il existe DEUX tables de texte non reliees : les 82 libelles de causes (morts) et les 114 libelles du carrousel (vivants). Aucun mecanisme ne garantit leur coherence, et rien ne relie un bit a un texte. Aucune "action utilisateur" n'est structuree par defaut de cause : les seules actions sont les branches generiques de FB_Hmi_BannerFormatter.st:695-789 (par etape de cycle / direction), plus 2 actions specifiques liees au bit 6 (limite basse cable, FB_Hmi_BannerFormatter.st:766-784).
